Emotion: afraid; topic: 1; n_stories: 5;
Emotion: afraid; topic: 2; n_stories: 5;
Emotion: afraid; topic: 3; n_stories: 5;
Emotion: afraid; topic: 4; n_stories: 5;
Emotion: afraid; topic: 5; n_stories: 5;
Emotion: afraid; topic: 6; n_stories: 5;
Emotion: afraid; topic: 7; n_stories: 5;
Emotion: afraid; topic: 8; n_stories: 5;
Emotion: afraid; topic: 9; n_stories: 5;
Emotion: afraid; topic: 10; n_stories: 5;


Emotion: angry; topic: 1; n_stories: 5;
Emotion: angry; topic: 2; n_stories: 5;
Emotion: angry; topic: 3; n_stories: 5;
Emotion: angry; topic: 4; n_stories: 5;
Emotion: angry; topic: 5; n_stories: 5;
Emotion: angry; topic: 6; n_stories: 5;
Emotion: angry; topic: 7; n_stories: 5;
Emotion: angry; topic: 8; n_stories: 5;
Emotion: angry; topic: 9; n_stories: 5;
Emotion: angry; topic: 10; n_stories: 5;


Emotion: anxious; topic: 1; n_stories: 5;
Emotion: anxious; topic: 2; n_stories: 5;
Emotion: anxious; topic: 3; n_stories: 5;
Emotion: anxious; topic: 4; n_stories: 5;
Emotion: anxious; topic: 5; n_stories: 5;
Emotion: anxious; topic: 6; n_stories: 5;
Emotion: anxious; topic: 7; n_stories: 5;
Emotion: anxious; topic: 8; n_stories: 5;
Emotion: anxious; topic: 9; n_stories: 5;
Emotion: anxious; topic: 10; n_stories: 5;


Emotion: brooding; topic: 1; n_stories: 5;
Emotion: brooding; topic: 2; n_stories: 5;
Emotion: brooding; topic: 3; n_stories: 5;
Emotion: brooding; topic: 4; n_stories: 5;
Emotion: brooding; topic: 5; n_stories: 5;
Emotion: brooding; topic: 6; n_stories: 5;
Emotion: brooding; topic: 7; n_stories: 5;
Emotion: brooding; topic: 8; n_stories: 5;
Emotion: brooding; topic: 9; n_stories: 5;
Emotion: brooding; topic: 10; n_stories: 5;


Emotion: calm; topic: 1; n_stories: 5;
Emotion: calm; topic: 2; n_stories: 5;
Emotion: calm; topic: 3; n_stories: 5;
Emotion: calm; topic: 4; n_stories: 5;
Emotion: calm; topic: 5; n_stories: 5;
Emotion: calm; topic: 6; n_stories: 5;
Emotion: calm; topic: 7; n_stories: 5;
Emotion: calm; topic: 8; n_stories: 5;
Emotion: calm; topic: 9; n_stories: 5;
Emotion: calm; topic: 10; n_stories: 5;


Emotion: confused; topic: 1; n_stories: 5;
Emotion: confused; topic: 1; n_stories: 5;
Emotion: confused; topic: 2; n_stories: 5;
Emotion: confused; topic: 3; n_stories: 5;
Emotion: confused; topic: 4; n_stories: 5;
Emotion: confused; topic: 5; n_stories: 5;
Emotion: confused; topic: 6; n_stories: 5;
Emotion: confused; topic: 7; n_stories: 5;
Emotion: confused; topic: 8; n_stories: 5;
Emotion: confused; topic: 9; n_stories: 5;
Emotion: confused; topic: 10; n_stories: 5;


Emotion: desperate; topic: 1; n_stories: 5;
Emotion: desperate; topic: 2; n_stories: 5;
Emotion: desperate; topic: 3; n_stories: 5;
Emotion: desperate; topic: 4; n_stories: 5;
Emotion: desperate; topic: 5; n_stories: 5;
Emotion: desperate; topic: 6; n_stories: 5;
Emotion: desperate; topic: 7; n_stories: 5;
Emotion: desperate; topic: 8; n_stories: 5;
Emotion: desperate; topic: 9; n_stories: 5;
Emotion: desperate; topic: 10; n_stories: 5;


Emotion: disgusted; topic: 1; n_stories: 5;
Emotion: disgusted; topic: 2; n_stories: 5;
Emotion: disgusted; topic: 3; n_stories: 5;
Emotion: disgusted; topic: 4; n_stories: 5;
Emotion: disgusted; topic: 5; n_stories: 5;
Emotion: disgusted; topic: 6; n_stories: 5;
Emotion: disgusted; topic: 7; n_stories: 5;
Emotion: disgusted; topic: 8; n_stories: 5;
Emotion: disgusted; topic: 9; n_stories: 5;
Emotion: disgusted; topic: 10; n_stories: 5;


Emotion: guilty; topic: 1; n_stories: 5;
Emotion: guilty; topic: 2; n_stories: 5;
Emotion: guilty; topic: 3; n_stories: 5;
Emotion: guilty; topic: 4; n_stories: 5;
